,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,campo maior,-4.8278,-42.1686,74.61,92,100,3.27,BR,1611977778
1,santa clarita,34.3917,-118.5426,48.2,76,75,1.32,US,1611977638
2,puerto ayora,-0.7393,-90.3518,77.0,95,38,8.99,EC,1611977778
3,bintulu,3.1667,113.0333,82.4,89,40,5.75,MY,1611977778
4,buckeye,33.3703,-112.5838,50.0,92,25,5.77,US,1611977739
5,vilyuysk,63.7553,121.6247,-41.22,78,100,2.62,RU,1611977779
6,vaini,-21.2,-175.2,80.6,89,90,14.97,TO,1611977779
7,faanui,-16.4833,-151.75,81.23,67,100,4.76,PF,1611977779
8,sur,22.5667,59.5289,67.75,41,0,6.49,OM,1611977598
9,kihei,20.785,-156.4656,75.2,69,40,19.57,US,1611977779
10,hobart,-42.8794,147.3294,72.0,64,75,10.36,AU,1611977566
11,port hedland,-20.3167,118.5667,98.6,36,75,11.5,AU,1611977780
12,castro,-24.7911,-50.0119,62.58,95,100,3.09,BR,1611977780
13,touros,-5.1989,-35.4608,77.0,88,40,4.61,BR,1611977780
14,new norfolk,-42.7826,147.0587,72.0,64,75,10.36,AU,1611977780
15,piopio,-38.4667,175.0167,78.01,32,1,2.91,NZ,1611977780
16,anadyr,64.75,177.4833,-20.0,76,0,6.71,RU,1611977781
17,albany,42.6001,-73.9662,9.0,50,6,4.0,US,1611977749
18,zhezkazgan,47.8043,67.7144,15.06,94,100,12.41,KZ,1611977781
19,yellowknife,62.456,-114.3525,-20.0,76,1,5.75,CA,1611977511
20,hermanus,-34.4187,19.2345,62.01,90,63,1.01,ZA,1611977577
21,ushuaia,-54.8,-68.3,42.8,75,40,17.27,AR,1611977781
22,avera,33.194,-82.5271,33.8,86,1,4.85,US,1611977781
23,ponta do sol,32.6667,-17.1,57.99,76,16,4.0,PT,1611977782
24,grand gaube,-20.0064,57.6608,82.99,74,2,5.01,MU,1611977782
25,sao gabriel,-30.3364,-54.32,73.62,84,68,3.13,BR,1611977782
26,san quintin,30.4833,-115.95,55.8,77,1,7.2,MX,1611977782
27,bilibino,68.0546,166.4372,-24.18,80,0,4.54,RU,1611977782
28,longyearbyen,78.2186,15.6401,-0.4,50,20,24.16,SJ,1611977782
29,avarua,-21.2078,-159.775,82.4,74,75,8.05,CK,1611977783
30,eydhafushi,5.1033,73.0708,80.8,70,0,11.39,MV,1611977783
31,mar del plata,-38.0023,-57.5575,70.0,94,82,4.61,AR,1611977783
32,rikitea,-23.1203,-134.9692,80.01,74,37,11.72,PF,1611977783
33,cape town,-33.9258,18.4232,70.0,94,75,3.44,ZA,1611977570
34,atuona,-9.8,-139.0333,78.55,80,12,17.81,PF,1611977784
35,atar,20.5169,-13.0499,64.65,27,47,11.56,MR,1611977620
36,torbay,47.6666,-52.7314,28.0,93,90,20.71,CA,1611977591
37,busselton,-33.65,115.3333,82.0,45,0,5.99,AU,1611977652
38,kupang,-10.1667,123.5833,75.2,100,90,5.75,ID,1611977784
39,mae tha,18.4646,99.1403,80.01,69,40,1.14,TH,1611977784
40,talnakh,69.4865,88.3972,-31.61,65,2,3.2,RU,1611977784
41,esperance,-33.8667,121.9,75.2,43,0,13.8,AU,1611977785
42,kununurra,-15.7667,128.7333,78.8,100,75,8.05,AU,1611977785
43,bembereke,10.2283,2.6634,65.5,26,17,3.91,BJ,1611977785
